fueltype,carbody,drivewheel,enginelocation,enginetype,cylindernumber,enginesize,fuelsystem,horsepower,price,Make
gas,convertible,rwd,front,dohc,four,130,mpfi,111,13495.0,alfa-romero
gas,convertible,rwd,front,dohc,four,130,mpfi,111,16500.0,alfa-romero
gas,hatchback,rwd,front,ohcv,six,152,mpfi,154,16500.0,alfa-romero
gas,sedan,fwd,front,ohc,four,109,mpfi,102,13950.0,audi
gas,sedan,4wd,front,ohc,five,136,mpfi,115,17450.0,audi
gas,sedan,fwd,front,ohc,five,136,mpfi,110,15250.0,audi
gas,sedan,fwd,front,ohc,five,136,mpfi,110,17710.0,audi
gas,wagon,fwd,front,ohc,five,136,mpfi,110,18920.0,audi
gas,sedan,fwd,front,ohc,five,131,mpfi,140,23875.0,audi
gas,hatchback,4wd,front,ohc,five,131,mpfi,160,17859.167,audi
gas,sedan,rwd,front,ohc,four,108,mpfi,101,16430.0,bmw
gas,sedan,rwd,front,ohc,four,108,mpfi,101,16925.0,bmw
gas,sedan,rwd,front,ohc,six,164,mpfi,121,20970.0,bmw
gas,sedan,rwd,front,ohc,six,164,mpfi,121,21105.0,bmw
gas,sedan,rwd,front,ohc,six,164,mpfi,121,24565.0,bmw
gas,sedan,rwd,front,ohc,six,209,mpfi,182,30760.0,bmw
gas,sedan,rwd,front,ohc,six,209,mpfi,182,41315.0,bmw
gas,sedan,rwd,front,ohc,six,209,mpfi,182,36880.0,bmw
gas,hatchback,fwd,front,l,three,61,2bbl,48,5151.0,chevrolet
gas,hatchback,fwd,front,ohc,four,90,2bbl,70,6295.0,chevrolet
gas,sedan,fwd,front,ohc,four,90,2bbl,70,6575.0,chevrolet
gas,hatchback,fwd,front,ohc,four,90,2bbl,68,5572.0,dodge
gas,hatchback,fwd,front,ohc,four,90,2bbl,68,6377.0,dodge
gas,hatchback,fwd,front,ohc,four,98,mpfi,102,7957.0,dodge
gas,hatchback,fwd,front,ohc,four,90,2bbl,68,6229.0,dodge
gas,sedan,fwd,front,ohc,four,90,2bbl,68,6692.0,dodge
gas,sedan,fwd,front,ohc,four,90,2bbl,68,7609.0,dodge
gas,sedan,fwd,front,ohc,four,98,mpfi,102,8558.0,dodge
gas,wagon,fwd,front,ohc,four,122,2bbl,88,8921.0,dodge
gas,hatchback,fwd,front,ohc,four,156,mfi,145,12964.0,dodge
gas,hatchback,fwd,front,ohc,four,92,1bbl,58,6479.0,honda
gas,hatchback,fwd,front,ohc,four,92,1bbl,76,6855.0,honda
gas,hatchback,fwd,front,ohc,four,79,1bbl,60,5399.0,honda
gas,hatchback,fwd,front,ohc,four,92,1bbl,76,6529.0,honda
gas,hatchback,fwd,front,ohc,four,92,1bbl,76,7129.0,honda
gas,sedan,fwd,front,ohc,four,92,1bbl,76,7295.0,honda
gas,wagon,fwd,front,ohc,four,92,1bbl,76,7295.0,honda
gas,hatchback,fwd,front,ohc,four,110,1bbl,86,7895.0,honda
gas,hatchback,fwd,front,ohc,four,110,1bbl,86,9095.0,honda
gas,sedan,fwd,front,ohc,four,110,1bbl,86,8845.0,honda
gas,sedan,fwd,front,ohc,four,110,1bbl,86,10295.0,honda
gas,sedan,fwd,front,ohc,four,110,mpfi,101,12945.0,honda
gas,sedan,fwd,front,ohc,four,110,2bbl,100,10345.0,honda
gas,sedan,rwd,front,ohc,four,111,2bbl,78,6785.0,isuzu
gas,sedan,fwd,front,ohc,four,90,2bbl,70,8916.5,isuzu
gas,sedan,fwd,front,ohc,four,90,2bbl,70,8916.5,isuzu
gas,hatchback,rwd,front,ohc,four,119,spfi,90,11048.0,isuzu
gas,sedan,rwd,front,dohc,six,258,mpfi,176,32250.0,jaguar
gas,sedan,rwd,front,dohc,six,258,mpfi,176,35550.0,jaguar
gas,sedan,rwd,front,ohcv,twelve,326,mpfi,262,36000.0,jaguar
gas,hatchback,fwd,front,ohc,four,91,2bbl,68,5195.0,mazda
gas,hatchback,fwd,front,ohc,four,91,2bbl,68,6095.0,mazda
gas,hatchback,fwd,front,ohc,four,91,2bbl,68,6795.0,mazda
gas,sedan,fwd,front,ohc,four,91,2bbl,68,6695.0,mazda
gas,sedan,fwd,front,ohc,four,91,2bbl,68,7395.0,mazda
gas,hatchback,rwd,front,rotor,two,70,4bbl,101,10945.0,mazda
gas,hatchback,rwd,front,rotor,two,70,4bbl,101,11845.0,mazda
gas,hatchback,rwd,front,rotor,two,70,4bbl,101,13645.0,mazda
gas,hatchback,rwd,front,rotor,two,80,mpfi,135,15645.0,mazda
gas,hatchback,fwd,front,ohc,four,122,2bbl,84,8845.0,mazda
gas,sedan,fwd,front,ohc,four,122,2bbl,84,8495.0,mazda
gas,hatchback,fwd,front,ohc,four,122,2bbl,84,10595.0,mazda
gas,sedan,fwd,front,ohc,four,122,2bbl,84,10245.0,mazda
diesel,sedan,fwd,front,ohc,four,122,idi,64,10795.0,mazda
gas,hatchback,fwd,front,ohc,four,122,2bbl,84,11245.0,mazda
gas,sedan,rwd,front,ohc,four,140,mpfi,120,18280.0,mazda
diesel,sedan,rwd,front,ohc,four,134,idi,72,18344.0,mazda
diesel,sedan,rwd,front,ohc,five,183,idi,123,25552.0,buick
diesel,wagon,rwd,front,ohc,five,183,idi,123,28248.0,buick
diesel,hardtop,rwd,front,ohc,five,183,idi,123,28176.0,buick
diesel,sedan,rwd,front,ohc,five,183,idi,123,31600.0,buick
gas,sedan,rwd,front,ohcv,eight,234,mpfi,155,34184.0,buick
gas,convertible,rwd,front,ohcv,eight,234,mpfi,155,35056.0,buick
gas,sedan,rwd,front,ohcv,eight,308,mpfi,184,40960.0,buick
gas,hardtop,rwd,front,ohcv,eight,304,mpfi,184,45400.0,buick
gas,hatchback,rwd,front,ohc,four,140,mpfi,175,16503.0,mercury
gas,hatchback,fwd,front,ohc,four,92,2bbl,68,5389.0,mitsubishi
gas,hatchback,fwd,front,ohc,four,92,2bbl,68,6189.0,mitsubishi
gas,hatchback,fwd,front,ohc,four,92,2bbl,68,6669.0,mitsubishi
gas,hatchback,fwd,front,ohc,four,98,spdi,102,7689.0,mitsubishi
gas,hatchback,fwd,front,ohc,four,110,spdi,116,9959.0,mitsubishi
gas,hatchback,fwd,front,ohc,four,122,2bbl,88,8499.0,mitsubishi
gas,hatchback,fwd,front,ohc,four,156,spdi,145,12629.0,mitsubishi
gas,hatchback,fwd,front,ohc,four,156,spdi,145,14869.0,mitsubishi
gas,hatchback,fwd,front,ohc,four,156,spdi,145,14489.0,mitsubishi
gas,sedan,fwd,front,ohc,four,122,2bbl,88,6989.0,mitsubishi
gas,sedan,fwd,front,ohc,four,122,2bbl,88,8189.0,mitsubishi
gas,sedan,fwd,front,ohc,four,110,spdi,116,9279.0,mitsubishi
gas,sedan,fwd,front,ohc,four,110,spdi,116,9279.0,mitsubishi
gas,sedan,fwd,front,ohc,four,97,2bbl,69,5499.0,Nissan
diesel,sedan,fwd,front,ohc,four,103,idi,55,7099.0,Nissan
gas,sedan,fwd,front,ohc,four,97,2bbl,69,6649.0,Nissan
gas,sedan,fwd,front,ohc,four,97,2bbl,69,6849.0,Nissan
gas,wagon,fwd,front,ohc,four,97,2bbl,69,7349.0,Nissan
gas,sedan,fwd,front,ohc,four,97,2bbl,69,7299.0,Nissan
gas,hatchback,fwd,front,ohc,four,97,2bbl,69,7799.0,Nissan
gas,sedan,fwd,front,ohc,four,97,2bbl,69,7499.0,Nissan
gas,wagon,fwd,front,ohc,four,97,2bbl,69,7999.0,Nissan
gas,hardtop,fwd,front,ohc,four,97,2bbl,69,8249.0,Nissan
gas,hatchback,fwd,front,ohc,four,120,2bbl,97,8949.0,Nissan
gas,sedan,fwd,front,ohc,four,120,2bbl,97,9549.0,Nissan
gas,sedan,fwd,front,ohcv,six,181,mpfi,152,13499.0,Nissan
gas,wagon,fwd,front,ohcv,six,181,mpfi,152,14399.0,Nissan
gas,sedan,fwd,front,ohcv,six,181,mpfi,152,13499.0,Nissan
gas,hatchback,rwd,front,ohcv,six,181,mpfi,160,17199.0,Nissan
gas,hatchback,rwd,front,ohcv,six,181,mpfi,200,19699.0,Nissan
gas,hatchback,rwd,front,ohcv,six,181,mpfi,160,18399.0,Nissan
gas,sedan,rwd,front,l,four,120,mpfi,97,11900.0,peugeot
diesel,sedan,rwd,front,l,four,152,idi,95,13200.0,peugeot
gas,wagon,rwd,front,l,four,120,mpfi,97,12440.0,peugeot
diesel,wagon,rwd,front,l,four,152,idi,95,13860.0,peugeot
gas,sedan,rwd,front,l,four,120,mpfi,95,15580.0,peugeot
diesel,sedan,rwd,front,l,four,152,idi,95,16900.0,peugeot
gas,wagon,rwd,front,l,four,120,mpfi,95,16695.0,peugeot
diesel,wagon,rwd,front,l,four,152,idi,95,17075.0,peugeot
gas,sedan,rwd,front,l,four,120,mpfi,97,16630.0,peugeot
diesel,sedan,rwd,front,l,four,152,idi,95,17950.0,peugeot
gas,sedan,rwd,front,l,four,134,mpfi,142,18150.0,peugeot
gas,hatchback,fwd,front,ohc,four,90,2bbl,68,5572.0,plymouth
gas,hatchback,fwd,front,ohc,four,98,spdi,102,7957.0,plymouth
gas,hatchback,fwd,front,ohc,four,90,2bbl,68,6229.0,plymouth
gas,sedan,fwd,front,ohc,four,90,2bbl,68,6692.0,plymouth
gas,sedan,fwd,front,ohc,four,98,2bbl,68,7609.0,plymouth
gas,wagon,fwd,front,ohc,four,122,2bbl,88,8921.0,plymouth
gas,hatchback,rwd,front,ohc,four,156,spdi,145,12764.0,plymouth
gas,hatchback,rwd,front,ohc,four,151,mpfi,143,22018.0,porsche
gas,hardtop,rwd,rear,ohcf,six,194,mpfi,207,32528.0,porsche
gas,hardtop,rwd,rear,ohcf,six,194,mpfi,207,34028.0,porsche
gas,convertible,rwd,rear,ohcf,six,194,mpfi,207,37028.0,porsche
gas,hatchback,rwd,front,dohcv,eight,203,mpfi,288,31400.5,porsche
gas,wagon,fwd,front,ohc,four,132,mpfi,90,9295.0,renault
gas,hatchback,fwd,front,ohc,four,132,mpfi,90,9895.0,renault
gas,hatchback,fwd,front,ohc,four,121,mpfi,110,11850.0,saab
gas,sedan,fwd,front,ohc,four,121,mpfi,110,12170.0,saab
gas,hatchback,fwd,front,ohc,four,121,mpfi,110,15040.0,saab
gas,sedan,fwd,front,ohc,four,121,mpfi,110,15510.0,saab
gas,hatchback,fwd,front,dohc,four,121,mpfi,160,18150.0,saab
gas,sedan,fwd,front,dohc,four,121,mpfi,160,18620.0,saab
gas,hatchback,fwd,front,ohcf,four,97,2bbl,69,5118.0,subaru
gas,hatchback,fwd,front,ohcf,four,108,2bbl,73,7053.0,subaru
gas,hatchback,4wd,front,ohcf,four,108,2bbl,73,7603.0,subaru
gas,sedan,fwd,front,ohcf,four,108,2bbl,82,7126.0,subaru
gas,sedan,fwd,front,ohcf,four,108,2bbl,82,7775.0,subaru
gas,sedan,fwd,front,ohcf,four,108,mpfi,94,9960.0,subaru
gas,sedan,4wd,front,ohcf,four,108,2bbl,82,9233.0,subaru
gas,sedan,4wd,front,ohcf,four,108,mpfi,111,11259.0,subaru
gas,wagon,fwd,front,ohcf,four,108,2bbl,82,7463.0,subaru
gas,wagon,fwd,front,ohcf,four,108,mpfi,94,10198.0,subaru
gas,wagon,4wd,front,ohcf,four,108,2bbl,82,8013.0,subaru
gas,wagon,4wd,front,ohcf,four,108,mpfi,111,11694.0,subaru
gas,hatchback,fwd,front,ohc,four,92,2bbl,62,5348.0,toyota
gas,hatchback,fwd,front,ohc,four,92,2bbl,62,6338.0,toyota
gas,hatchback,fwd,front,ohc,four,92,2bbl,62,6488.0,toyota
gas,wagon,fwd,front,ohc,four,92,2bbl,62,6918.0,toyota
gas,wagon,4wd,front,ohc,four,92,2bbl,62,7898.0,toyota
gas,wagon,4wd,front,ohc,four,92,2bbl,62,8778.0,toyota
gas,sedan,fwd,front,ohc,four,98,2bbl,70,6938.0,toyota
gas,hatchback,fwd,front,ohc,four,98,2bbl,70,7198.0,toyota
diesel,sedan,fwd,front,ohc,four,110,idi,56,7898.0,toyota
diesel,hatchback,fwd,front,ohc,four,110,idi,56,7788.0,toyota
gas,sedan,fwd,front,ohc,four,98,2bbl,70,7738.0,toyota
gas,hatchback,fwd,front,ohc,four,98,2bbl,70,8358.0,toyota
gas,sedan,fwd,front,ohc,four,98,2bbl,70,9258.0,toyota
gas,sedan,rwd,front,ohc,four,98,2bbl,70,8058.0,toyota
gas,hatchback,rwd,front,ohc,four,98,2bbl,70,8238.0,toyota
gas,sedan,rwd,front,dohc,four,98,mpfi,112,9298.0,toyota
gas,hatchback,rwd,front,dohc,four,98,mpfi,112,9538.0,toyota
gas,hardtop,rwd,front,ohc,four,146,mpfi,116,8449.0,toyota
gas,hardtop,rwd,front,ohc,four,146,mpfi,116,9639.0,toyota
gas,hatchback,rwd,front,ohc,four,146,mpfi,116,9989.0,toyota
gas,hardtop,rwd,front,ohc,four,146,mpfi,116,11199.0,toyota
gas,hatchback,rwd,front,ohc,four,146,mpfi,116,11549.0,toyota
gas,convertible,rwd,front,ohc,four,146,mpfi,116,17669.0,toyota
gas,sedan,fwd,front,ohc,four,122,mpfi,92,8948.0,toyota
diesel,sedan,fwd,front,ohc,four,110,idi,73,10698.0,toyota
gas,hatchback,fwd,front,ohc,four,122,mpfi,92,9988.0,toyota
gas,sedan,fwd,front,ohc,four,122,mpfi,92,10898.0,toyota
gas,hatchback,fwd,front,ohc,four,122,mpfi,92,11248.0,toyota
gas,hatchback,rwd,front,dohc,six,171,mpfi,161,16558.0,toyota
gas,hatchback,rwd,front,dohc,six,171,mpfi,161,15998.0,toyota
gas,sedan,rwd,front,dohc,six,171,mpfi,156,15690.0,toyota
gas,wagon,rwd,front,dohc,six,161,mpfi,156,15750.0,toyota
diesel,sedan,fwd,front,ohc,four,97,idi,52,7775.0,volkswagen
gas,sedan,fwd,front,ohc,four,109,mpfi,85,7975.0,volkswagen
diesel,sedan,fwd,front,ohc,four,97,idi,52,7995.0,volkswagen
gas,sedan,fwd,front,ohc,four,109,mpfi,85,8195.0,volkswagen
gas,sedan,fwd,front,ohc,four,109,mpfi,85,8495.0,volkswagen
diesel,sedan,fwd,front,ohc,four,97,idi,68,9495.0,volkswagen
gas,sedan,fwd,front,ohc,four,109,mpfi,100,9995.0,volkswagen
gas,convertible,fwd,front,ohc,four,109,mpfi,90,11595.0,volkswagen
gas,hatchback,fwd,front,ohc,four,109,mpfi,90,9980.0,volkswagen
gas,sedan,fwd,front,ohc,five,136,mpfi,110,13295.0,volkswagen
diesel,sedan,fwd,front,ohc,four,97,idi,68,13845.0,volkswagen
gas,wagon,fwd,front,ohc,four,109,mpfi,88,12290.0,volkswagen
gas,sedan,rwd,front,ohc,four,141,mpfi,114,12940.0,volvo
gas,wagon,rwd,front,ohc,four,141,mpfi,114,13415.0,volvo
gas,sedan,rwd,front,ohc,four,141,mpfi,114,15985.0,volvo
gas,wagon,rwd,front,ohc,four,141,mpfi,114,16515.0,volvo
gas,sedan,rwd,front,ohc,four,130,mpfi,162,18420.0,volvo
gas,wagon,rwd,front,ohc,four,130,mpfi,162,18950.0,volvo
gas,sedan,rwd,front,ohc,four,141,mpfi,114,16845.0,volvo
gas,sedan,rwd,front,ohc,four,141,mpfi,160,19045.0,volvo
gas,sedan,rwd,front,ohcv,six,173,mpfi,134,21485.0,volvo
diesel,sedan,rwd,front,ohc,six,145,idi,106,22470.0,volvo
gas,sedan,rwd,front,ohc,four,141,mpfi,114,22625.0,volvo
